location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Austria,AUT,2022-09-15,300.0,0.0,2.0,0.0,2.29,0.0,0.224,33.624,0.257,0.0,0.0,0.0
Lithuania,LTU,2022-09-15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794,0.0,0.0,0.0,0.0
South Africa,ZAF,2022-09-15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0
Thailand,THA,2022-09-15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0
Slovenia,SVN,2022-09-15,46.0,0.0,0.0,0.0,0.14,0.0,0.0,21.704,0.066,0.0,0.0,0.0
Chile,CHL,2022-09-15,575.0,0.0,89.0,0.0,12.71,0.0,4.566,29.497,0.652,0.0,0.0,0.0
Bulgaria,BGR,2022-09-15,6.0,0.0,0.0,0.0,0.14,0.0,0.0,0.871,0.02,0.0,0.0,0.0
Benin,BEN,2022-09-15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0
Panama,PAN,2022-09-15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758,0.0,0.0,0.0,0.0
Liberia,LBR,2022-09-15,3.0,0.0,0.0,0.0,0.14,0.0,0.0,0.578,0.027,0.0,0.0,0.0
France,FRA,2022-09-15,3833.0,0.0,0.0,0.0,16.0,0.0,0.0,56.851,0.237,0.0,0.0,0.0
Cuba,CUB,2022-09-15,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.089,0.0
Australia,AUS,2022-09-15,132.0,0.0,3.0,0.0,0.43,0.0,0.116,5.092,0.017,0.0,0.0,0.0
Monaco,MCO,2022-09-15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,81.775,0.0,0.0,0.0,0.0
Paraguay,PRY,2022-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0
Poland,POL,2022-09-15,160.0,0.0,0.0,0.0,1.86,0.0,0.0,4.177,0.049,0.0,0.0,0.0
Luxembourg,LUX,2022-09-15,55.0,0.0,0.0,0.0,0.29,0.0,0.0,86.029,0.454,0.0,0.0,0.0
Mexico,MEX,2022-09-15,1050.0,0.0,262.0,0.0,37.43,0.0,2.068,8.287,0.295,0.0,0.0,0.0
Turkey,TUR,2022-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
Slovakia,SVK,2022-09-15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0
Greece,GRC,2022-09-15,69.0,0.0,2.0,0.0,0.43,0.0,0.191,6.606,0.041,0.0,0.0,0.0
China,CHN,2022-09-15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
Switzerland,CHE,2022-09-15,494.0,0.0,4.0,0.0,1.43,0.0,0.46,56.838,0.165,0.0,0.0,0.0
Jamaica,JAM,2022-09-15,12.0,0.0,0.0,0.0,0.43,0.0,0.0,4.244,0.152,0.0,0.0,0.0
Uruguay,URY,2022-09-15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.459,0.0,0.0,0.0,0.0
Venezuela,VEN,2022-09-15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,2022-09-15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.0,0.0,0.0,0.0
Dominican Republic,DOM,2022-09-15,21.0,0.0,0.0,0.0,2.0,0.0,0.0,1.889,0.18,0.0,0.0,0.0
Democratic Republic of Congo,COD,2022-09-15,174.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815,0.0,0.0,0.0,0.0
Curacao,CUW,2022-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.254,0.0,0.0,0.0,0.0
Sweden,SWE,2022-09-15,179.0,0.0,2.0,0.0,1.57,0.0,0.191,17.101,0.15,0.0,0.0,0.0
Serbia,SRB,2022-09-15,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.511,0.0,0.0,0.0,0.0
Moldova,MDA,2022-09-15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,0.0
Andorra,AND,2022-09-15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.611,0.0,0.0,0.0,0.0
Colombia,COL,2022-09-15,1260.0,0.0,0.0,0.0,46.0,0.0,0.0,24.458,0.893,0.0,0.0,0.0
Sudan,SDN,2022-09-15,6.0,1.0,2.0,1.0,0.29,0.14,0.044,0.131,0.006,0.022,0.022,0.003
Puerto Rico,PRI,2022-09-15,158.0,0.0,6.0,0.0,3.43,0.0,1.843,48.525,1.053,0.0,0.0,0.0
Indonesia,IDN,2022-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
Norway,NOR,2022-09-15,89.0,0.0,2.0,0.0,0.86,0.0,0.37,16.472,0.159,0.0,0.0,0.0
India,IND,2022-09-15,12.0,1.0,2.0,0.0,0.29,0.0,0.001,0.009,0.0,0.0,0.001,0.0
Ukraine,UKR,2022-09-15,1.0,0.0,1.0,0.0,0.14,0.0,0.023,0.023,0.003,0.0,0.0,0.0
Russia,RUS,2022-09-15,2.0,0.0,0.0,0.0,0.14,0.0,0.0,0.014,0.001,0.0,0.0,0.0
Italy,ITA,2022-09-15,813.0,0.0,0.0,0.0,3.71,0.0,0.0,13.724,0.063,0.0,0.0,0.0
Georgia,GEO,2022-09-15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0
Qatar,QAT,2022-09-15,4.0,0.0,1.0,0.0,0.14,0.0,0.372,1.488,0.052,0.0,0.0,0.0
United States,USA,2022-09-15,22479.0,0.0,645.0,0.0,267.43,0.0,1.914,66.704,0.794,0.0,0.0,0.0
Honduras,HND,2022-09-15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.0,0.0
Belgium,BEL,2022-09-15,744.0,1.0,0.0,0.0,2.57,0.0,0.0,64.075,0.221,0.0,0.086,0.0
