MMWR Week,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Multiple Races,Native Hawaiian or Other Pacific Islander,Other Race,White
08-May-22,0,0,50,0,0,0,0,50
15-May-22,0,0,7.143,28.571,0,0,0,64.286
22-May-22,0,15.789,5.263,31.579,0,0,15.789,31.579
29-May-22,0,5.556,8.333,30.556,0,0,0,55.556
05-June-22,0,3.896,11.688,32.468,0,1.299,2.597,48.052
12-June-22,0,4.93,15.493,28.169,0,0,2.817,48.592
19-June-22,0.433,5.628,11.688,30.736,0,0.433,0.433,50.649
26-June-22,0,4.521,18.083,34.901,0,0,3.617,38.879
03-July-22,0.118,4.368,20.071,34.357,0,0.472,2.952,37.662
10-July-22,0.303,4.463,25.038,32.375,0,0.076,2.269,35.477
17-July-22,0.279,3.404,30.022,29.799,0.056,0.223,2.567,33.65
24-July-22,0.133,2.699,28.009,32.92,0.088,0.088,2.522,33.54
31-July-22,0.545,3.541,29.533,34.241,0.078,0.272,2.724,29.066
07-August-22,0.511,2.766,33.915,32.468,0.085,0.213,2.34,27.702
14-August-22,0.591,2.909,35.091,32.682,0.227,0.591,2.636,25.273
21-August-22,0.437,2.622,37.084,31.131,0.109,0.164,2.84,25.614
28-August-22,0.397,2.379,34.898,31.527,0.264,0.397,2.445,27.693
04-September-22,0.705,2.203,36.476,31.366,0.176,0.352,2.731,25.991
11-September-22,0.639,1.704,41.214,26.624,0.106,0.532,3.195,25.985
18-September-22,0.415,1.554,47.565,19.482,0.518,0.207,2.176,28.083
25-September-22,0.45,1.802,50,18.468,0.676,0,2.703,25.901
